can,ky_thi,mon,cau,so_y,link,dap_an_1,dap_an_2,tieu_de,sao,chu_de,id
đáp án,H26,機械,問8,1,https://denken-ou.com/kikaih26-8/,5,,単相変圧器の電圧変動に関する計算問題,4,変圧器,kikai:kikaih26-8
tiêu đề,H22,電力,問11,1,https://denken-ou.com/denryokuh22-11/,4,,地中電力ケーブルの送電容量増大対策に関する論説問題,2,送電（地中送電知識）,
đáp án,H20,法規,問13,2,https://denken-ou.com/houkih20-13/,3,4,系統に接続している水力発電所の運用に関する計算問題,3,電気施設管理（計算）,houki:houkih20-13
đáp án,H20,法規,問12,2,https://denken-ou.com/houkih20-12/,3,4,複数の需要家に電力を供給する変電所の最大電力に関する計算問題,3,電気施設管理（計算）,houki:houkih20-12
đáp án,H20,法規,問11,2,https://denken-ou.com/houkih20-11/,2,2,送電線の許容引張荷重と電線の弛度に関する計算問題,1,電気施設管理（計算）,houki:houkih20-11
đáp án,H20,法規,問10,1,https://denken-ou.com/houkih20-10/,1,,発電機の保護装置に関する空欄穴埋問題,3,電気設備技術基準の解釈,houki:houkih20-10
đáp án,H20,法規,問9,1,https://denken-ou.com/houkih20-9/,3,,B種接地工事を施す主たる目的に関する論説問題,1,電気設備技術基準の解釈,houki:houkih20-9
đáp án,H20,法規,問8,1,https://denken-ou.com/houkih20-8/,5,,PCB電気工作物の取扱いに関する空欄穴埋問題,3,電気設備の技術基準を定める省令,houki:houkih20-8~2
đáp án,H20,法規,問7,1,https://denken-ou.com/houkih20-7/,2,,ケーブルを使用する交流電路の絶縁耐力試験に関する空欄穴埋問題,2,電気設備技術基準の解釈,houki:houkih20-7
đáp án,H20,法規,問6,1,https://denken-ou.com/houkih20-6/,4,,風力設備技術基準に規定されている風車に関する空欄穴埋問題,2,風力設備技術基準,houki:houkih20-6
đáp án,H20,法規,問5,1,https://denken-ou.com/houkih20-5/,4,,事業用電気工作物の維持に関する空欄穴埋問題,1,電気事業法及び施行規則,houki:houkih20-5
đáp án,H20,法規,問4,1,https://denken-ou.com/houkih20-4/,2,,自家用電気工作物を設置する場合の保安規程に関する空欄穴埋問題,2,電気事業法及び施行規則,houki:houkih20-4
đáp án,H20,法規,問3,1,https://denken-ou.com/houkih20-3/,2,,電気工事士法で規定されている電気工事の作業内容に関する論説問題,2,電気工事士法,houki:houkih20-3
đáp án,H20,法規,問2,1,https://denken-ou.com/houkih20-2/,1,,「電気関係報告規則」の事故報告に関する空欄穴埋問題,2,電気関係報告規則,houki:houkih20-2
đáp án,H20,法規,問1,1,https://denken-ou.com/houkih20-1/,4,,電気用品安全法で規定されている目的と定義に関する論説問題,2,電気用品安全法,houki:houkih20-1
đáp án,H20,機械,問18,2,https://denken-ou.com/kikaih20-18/,4,2,使用電力量のデータ処理に関する空欄穴埋問題,3,情報伝送及び処理,kikai:kikaih20-18
đáp án,H20,機械,問17,2,https://denken-ou.com/kikaih20-17/,5,3,ブロック線図の伝達関数と近似式に関する計算問題,3,自動制御,kikai:kikaih20-17
đáp án,H20,機械,問16,2,https://denken-ou.com/kikaih20-16/,1,4,単相変圧器の鉄損及び銅損に関する計算問題,2,変圧器,kikai:kikaih20-16
đáp án,H20,機械,問15,2,https://denken-ou.com/kikaih20-15/,4,1,三相誘導電動機の回転速度と滑り周波数に関する計算問題,2,誘導機,kikai:kikaih20-15
đáp án,H20,機械,問14,1,https://denken-ou.com/kikaih20-14/,2,,計算機に使用される記憶装置に関する空欄穴埋問題,4,情報伝送及び処理,kikai:kikaih20-14
đáp án,H20,機械,問13,1,https://denken-ou.com/kikaih20-13/,1,,鉛蓄電池の正極・負極の化学反応に関する論説問題,4,電気化学,kikai:kikaih20-13
đáp án,H20,機械,問12,1,https://denken-ou.com/kikaih20-12/,1,,ヒートポンプの原理や特徴に関する空欄穴埋問題 (Bài điền vào chỗ trống về nguyên lý và đặc điểm của bơm nhiệt),2,電熱,kikai:kikaih20-12
đáp án,H20,機械,問11,1,https://denken-ou.com/kikaih20-11/,2,,電動機と減速機を組み合わせた負荷の駆動に関する計算問題,3,電動機応用,kikai:kikaih20-11
đáp án,H20,機械,問10,1,https://denken-ou.com/kikaih20-10/,5,,交流電動機の周波数制御に関する空欄穴埋問題,3,誘導機,kikai:kikaih20-10
đáp án,H20,機械,問9,1,https://denken-ou.com/kikaih20-9/,3,,IGBTの得失や特性に関する論説問題,3,パワーエレクトロニクス,kikai:kikaih20-9
đáp án,H20,機械,問8,1,https://denken-ou.com/kikaih20-8/,2,,変圧器の保護及び監視装置に関する空欄穴埋問題,4,変圧器,kikai:kikaih20-8
đáp án,H20,機械,問7,1,https://denken-ou.com/kikaih20-7/,3,,変圧器の磁束と電圧及び電圧と電流の関係に関する空欄穴埋問題,2,変圧器,kikai:kikaih20-7
đáp án,H20,機械,問6,1,https://denken-ou.com/kikaih20-6/,1,,各種電動機の構造や特徴に関する空欄穴埋問題,3,四機総合問題,kikai:kikaih20-6
đáp án,H20,機械,問5,1,https://denken-ou.com/kikaih20-5/,3,,同期機の内部誘導起電力の導出に関する計算問題,2,同期機,kikai:kikaih20-5
đáp án,H20,機械,問4,1,https://denken-ou.com/kikaih20-4/,4,,三相同期発電機の特性曲線に関する空欄穴埋問題,2,同期機,kikai:kikaih20-4
đáp án,H20,機械,問3,1,https://denken-ou.com/kikaih20-3/,5,,巻線形誘導電動機のトルクと回転速度の関係に関する空欄穴埋問題,2,誘導機,kikai:kikaih20-3
đáp án,H20,機械,問2,1,https://denken-ou.com/kikaih20-2/,3,,負荷が変化したときの直流分巻電動機の逆起電力に関する計算問題,3,直流機,kikai:kikaih20-2
đáp án,H20,機械,問1,1,https://denken-ou.com/kikaih20-1/,1,,直流機に発生する誘導起電力の原理に関する空欄穴埋問題,2,直流機,kikai:kikaih20-1
đáp án,H20,電力,問17,2,https://denken-ou.com/denryokuh20-17/,2,3,三相3線式配電線路の電圧降下に関する計算問題,2,配電（計算）,denryoku:denryokuh20-17
đáp án,H20,電力,問16,2,https://denken-ou.com/denryokuh20-16/,3,4,三相3線式線路における電圧降下率に関する計算問題,4,送電,denryoku:denryokuh20-16
đáp án,H20,電力,問15,2,https://denken-ou.com/denryokuh20-15/,4,2,汽力発電所の発電電力量と送電端熱効率に関する計算問題,3,火力,denryoku:denryokuh20-15
đáp án,H20,電力,問14,1,https://denken-ou.com/denryokuh20-14/,2,,電気機器の鉄心として使用される磁心材料に関する空欄穴埋問題,3,電気材料,denryoku:denryokuh20-14
đáp án,H20,電力,問13,1,https://denken-ou.com/denryokuh20-13/,4,,配電線路の電圧調整に関する空欄穴埋問題,2,配電（知識）,denryoku:denryokuh20-13
đáp án,H20,電力,問12,1,https://denken-ou.com/denryokuh20-12/,5,,架空配電線路と比較したときの地中配電線路の一般的な特徴に関する論説問題,2,配電（知識）,denryoku:denryokuh20-12
đáp án,H20,電力,問11,1,https://denken-ou.com/denryokuh20-11/,4,,地中電線路の絶縁劣化診断方法に関する論説問題,3,送電（地中送電知識）,denryoku:denryokuh20-11
đáp án,H20,電力,問10,1,https://denken-ou.com/denryokuh20-10/,5,,がいしの塩害とその対策に関する論説問題,3,送電,denryoku:denryokuh20-10
đáp án,H20,電力,問9,1,https://denken-ou.com/denryokuh20-9/,2,,架空送電線路の構成要素に関する論説問題,2,送電,denryoku:denryokuh20-9
đáp án,H20,電力,問8,1,https://denken-ou.com/denryokuh20-8/,3,,三相変圧器の百分率リアクタンスに関する計算問題,1,変電,denryoku:denryokuh20-8
đáp án,H20,電力,問7,1,https://denken-ou.com/denryokuh20-7/,2,,送配電線路や変電機器等におけるコロナ障害に関する論説問題,3,送電,denryoku:denryokuh20-7
đáp án,H20,電力,問6,1,https://denken-ou.com/denryokuh20-6/,5,,変電所に設置される機器に関する論説問題,3,変電,denryoku:denryokuh20-6
đáp án,H20,電力,問5,1,https://denken-ou.com/denryokuh20-5/,2,,各新エネレギー発電の得失や利用状況に関する論説問題,2,新エネルギー発電,denryoku:denryokuh20-5
đáp án,H20,電力,問4,1,https://denken-ou.com/denryokuh20-4/,3,,軽水炉における出力調整の方法に関する空欄穴埋問題,2,原子力,denryoku:denryokuh20-4
đáp án,H20,電力,問3,1,https://denken-ou.com/denryokuh20-3/,1,,汽力発電所の基本的な熱サイクルに関する空欄穴埋問題,2,火力,denryoku:denryokuh20-3
đáp án,H20,電力,問2,1,https://denken-ou.com/denryokuh20-2/,3,,水力発電所の理論や特徴に関する論説問題,2,電力水力,denryoku:denryokuh20-2
